Fraud date;Passport;FIO;Phone;Fraud type;Report date
03.05.2020  20:34:01;5670092603;Поджарый Роман Константинович;+79410212254 ;Совершение операции при недействующем договоре и в разных городах в течение 1 часа;05.11.2021
03.05.2020  21:08:27;1414936096;Штыкашов Дмитрий Никитович;+79919933977 ;Совершение операции при недействующем договоре и в разных городах в течение 1 часа;05.11.2021
03.05.2020  21:21:46;4750296809;Барецкий Андрей Владимирович;+79733608401 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  21:24:55;8307742530;Городиловский Михаил Антонович;+79211450416 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  21:31:20;3981050503;Чашко Кирилл Павлович;+79846204746 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  21:40:24;7041310992;Бухарец Сергей Павлович;+79390152955 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  21:41:56;3904347595;Фель Евгений Никитович;+79692321575 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  21:52:38;2939202395;Куратник Валерий Никитович;+79564008708 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  21:54:47;4249433646;Пудков Олег Иванович;+79191440029 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  21:56:00;9277303923;Фель Валерий Николаевич;+79153121852 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  21:56:59;2106438067;Белохов Павел Николаевич;+79450598125 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  22:33:28;4013277631;Рубахов Кирилл Павлович;+79270608184 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  22:56:56;8213995492;Гладишкин Сергей Сергеевич;+79890732455 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  23:05:10;2327881587;Гладишкин Роман Сергеевич;+79214630163 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  23:06:54;1274741234;Чашко Павел Сергеевич;+79723465526 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  23:08:30;2706157349;Хандрамайло Василий Валериевич;+79446131842 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  23:17:13;6805977889;Петропуло Дмитрий Никитович;+79630105292 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  23:25:59;5663227258;Велдин Павел Дмитриевич;+79670171749 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  23:28:56;9861450589;Белохов Александр Васильевич;+79323907036 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  23:36:31;1741956980;Барецкий Павел Михаилович;+79243925138 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
03.05.2020  23:37:17;4958811076;Фель Петр Кириллович;+79989865703 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
