Fraud date;Passport;FIO;Phone;Fraud type;Report date
01.05.2020  08:59:05;6342328971;Петропуло Александр Александрович;+79699195774 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  10:51:12;4958811076;Фель Петр Кириллович;+79989865703 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  11:24:12;4581135200;Гуляков Василий Васильевич;+79497212935 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  11:57:02;7076445954;Мисик Сергей Николаевич;+79497481039 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  12:28:53;2327881587;Гладишкин Роман Сергеевич;+79214630163 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  12:44:03;8108438217;Антощук Игорь Владимирович;+79451696230 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  12:48:43;3981050503;Чашко Кирилл Павлович;+79846204746 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  13:01:16;3526501586;Ачентов Владимир Петрович;+79575633581 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  13:50:09;7722740007;Бухарец Антон Сергеевич;+79249514649 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  13:58:45;5450128465;Комартин Иван Константинович;+79336632104 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  14:19:29;1817664821;Рубахов Никита Михаилович;+79463620365 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  14:20:50;8611132511;Фель Константин Васильевич;+79727028539 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  14:40:41;6403074379;Ачентов Антон Дмитриевич;+79458324907 ;Совершение операции при недействующем договоре и в разных городах в течение 1 часа;05.11.2021
01.05.2020  14:47:19;7909208960;Городиловский Владимир Сергеевич;+79593567861 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  15:13:48;3791961371;Бухарец Игорь Николаевич;+79667902348 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  15:18:40;7173036990;Поджарый Роман Александрович;+79343500689 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  15:24:49;1741956980;Барецкий Павел Михаилович;+79243925138 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  15:28:07;1274741234;Чашко Павел Сергеевич;+79723465526 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  15:50:29;4221537287;Манвелян Николай Павлович;+79539068761 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  15:51:06;1265721588;Петропуло Игорь Павлович;+79454204196 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  16:02:56;4098309799;Штыкашов Павел Александрович;+79605011479 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  16:09:25;7004798931;Гладишкин Александр Михаилович;+79239086361 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  16:25:07;3602724796;Сноркин Андрей Антонович;+79890926038 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  16:38:33;8778457371;Белохов Михаил Романович;+79954610552 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  17:08:58;6675992612;Чашко Валерий Дмитриевич;+79593444366 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  17:17:14;8081589114;Хандрамайло Владимир Владимирович;+79656652391 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  17:19:24;3830198779;Кеменев Антон Евгеньевич;+79873860428 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  17:27:40;2942912302;Омелюшкин Евгений Кириллович;+79235175107 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  17:32:58;5263317668;Петропуло Евгений Павлович;+79714131751 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  17:39:29;9600352239;Гуляков Михаил Александрович;+79529669124 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  17:51:03;7933786291;Городиловский Константин Михаилович;+79619233397 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  17:58:39;9054168281;Мисик Андрей Константинович;+79652111522 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  18:03:09;4816021015;Барецкий Петр Олегович;+79892519224 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  18:05:25;1952408369;Юнцов Кирилл Кириллович;+79207942259 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  18:11:56;2603146357;Манвелян Петр Кириллович;+79441042802 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  18:41:35;4726387191;Тепленко Михаил Кириллович;+79817765776 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  18:46:03;3195562178;Мисик Сергей Олегович;+79181011177 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  19:19:31;2939202395;Куратник Валерий Никитович;+79564008708 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  19:20:46;4249433646;Пудков Олег Иванович;+79191440029 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  20:02:18;4707213670;Пудков Павел Романович;+79699177182 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  20:06:06;6630310773;Кеменев Валерий Кириллович;+79814077106 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  20:16:43;2921864972;Наранов Александр Петрович;+79753959402 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  20:55:00;9277303923;Фель Валерий Николаевич;+79153121852 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  21:04:53;3904347595;Фель Евгений Никитович;+79692321575 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  21:11:53;8521619473;Велдин Александр Михаилович;+79328601196 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  21:15:10;6790274012;Петропуло Андрей Александрович;+79614356238 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  21:24:30;9219300114;Крок Константин Кириллович;+79726351155 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  21:46:53;8585112233;Пудков Петр Михаилович;+79256005183 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  21:52:14;5074120512;Омелюшкин Никита Евгеньевич;+79599551193 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  22:00:29;8084740583;Комартин Валерий Дмитриевич;+79533765239 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  22:01:11;5670092603;Поджарый Роман Константинович;+79410212254 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  22:04:04;6708391435;Барецкий Валерий Валериевич;+79596741150 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  22:19:51;3354134791;Гуляков Евгений Константинович;+79953939977 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  22:27:37;8980655264;Пудков Евгений Александрович;+79478301780 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  22:32:13;1298690726;Омелюшкин Василий Иванович;+79736583722 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  22:40:14;3367869739;Наранов Антон Андреевич;+79985124886 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  22:43:50;4593720565;Городиловский Петр Романович;+79237254574 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  23:11:29;5142842911;Барецкий Олег Олегович;+79810391232 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  23:16:21;5614998719;Комартин Валерий Романович;+79462161137 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  23:19:34;5243508487;Барецкий Павел Александрович;+79575705724 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  23:21:12;6445270790;Петропуло Николай Владимирович;+79886548801 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  23:22:40;1414936096;Штыкашов Дмитрий Никитович;+79919933977 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  23:23:14;4783507057;Гуляков Кирилл Петрович;+79698158422 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  23:39:37;2706157349;Хандрамайло Василий Валериевич;+79446131842 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  23:40:45;2804082984;Чашко Олег Константинович;+79583148809 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  23:45:07;7915924107;Штыкашов Александр Дмитриевич;+79585879616 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  23:49:41;2589442754;Манвелян Игорь Петрович;+79661011475 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
01.05.2020  23:58:55;3462335082;Ачентов Николай Кириллович;+79143480318 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
