Fraud date;Passport;FIO;Phone;Fraud type;Report date
02.05.2020  11:28:50;9219300114;Крок Константин Кириллович;+79726351155 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  11:37:08;8585112233;Пудков Петр Михаилович;+79256005183 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  11:39:51;4816021015;Барецкий Петр Олегович;+79892519224 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  12:29:20;2942912302;Омелюшкин Евгений Кириллович;+79235175107 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  12:38:47;1817664821;Рубахов Никита Михаилович;+79463620365 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  12:57:47;8811877586;Штыкашов Кирилл Кириллович;+79326801532 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  13:04:12;1741956980;Барецкий Павел Михаилович;+79243925138 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  13:11:04;4013277631;Рубахов Кирилл Павлович;+79270608184 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  13:27:53;9599815430;Гуляков Роман Олегович;+79362135846 ;Совершение операции при недействующем договоре и в разных городах в течение 1 часа;05.11.2021
02.05.2020  13:36:36;7449819770;Крок Константин Иванович;+79767935690 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  13:49:05;1952408369;Юнцов Кирилл Кириллович;+79207942259 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  14:14:17;6445270790;Петропуло Николай Владимирович;+79886548801 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  14:15:12;9600352239;Гуляков Михаил Александрович;+79529669124 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  14:46:13;8611132511;Фель Константин Васильевич;+79727028539 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  14:51:09;5663227258;Велдин Павел Дмитриевич;+79670171749 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  16:07:22;7722740007;Бухарец Антон Сергеевич;+79249514649 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  16:17:38;2873672645;Сноркин Иван Дмитриевич;+79668999229 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  16:56:24;1412508511;Гуляков Владимир Петрович;+79119858743 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  17:06:34;3638974875;Омелюшкин Дмитрий Никитович;+79818522382 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  17:12:26;3462335082;Ачентов Николай Кириллович;+79143480318 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  17:21:59;6805977889;Петропуло Дмитрий Никитович;+79630105292 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  17:42:36;7041310992;Бухарец Сергей Павлович;+79390152955 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  17:49:27;1414936096;Штыкашов Дмитрий Никитович;+79919933977 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  17:52:33;3195562178;Мисик Сергей Олегович;+79181011177 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  17:53:16;2804082984;Чашко Олег Константинович;+79583148809 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  18:17:20;3407932346;Гладишкин Никита Валериевич;+79556552427 ;Совершение операции при недействующем договоре;05.11.2021
02.05.2020  18:46:18;6342328971;Петропуло Александр Александрович;+79699195774 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  19:09:36;4221537287;Манвелян Николай Павлович;+79539068761 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  19:19:48;8521619473;Велдин Александр Михаилович;+79328601196 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  19:26:30;7004798931;Гладишкин Александр Михаилович;+79239086361 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  19:37:36;9188863087;Рубахов Иван Никитович;+79817798654 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  19:44:45;5142842911;Барецкий Олег Олегович;+79810391232 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  19:47:30;9054168281;Мисик Андрей Константинович;+79652111522 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  19:51:38;4593720565;Городиловский Петр Романович;+79237254574 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  20:27:55;4958811076;Фель Петр Кириллович;+79989865703 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  20:43:55;2688347024;Городиловский Валерий Александрович;+79214966894 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  20:47:05;7909208960;Городиловский Владимир Сергеевич;+79593567861 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  20:53:30;4783507057;Гуляков Кирилл Петрович;+79698158422 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  20:57:44;9861450589;Белохов Александр Васильевич;+79323907036 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  20:59:35;6790274012;Петропуло Андрей Александрович;+79614356238 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  21:04:02;3354134791;Гуляков Евгений Константинович;+79953939977 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  21:04:33;3791961371;Бухарец Игорь Николаевич;+79667902348 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  21:40:19;1274741234;Чашко Павел Сергеевич;+79723465526 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  21:45:46;5080911147;Омелюшкин Антон Александрович;+79869514150 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  22:02:17;2706157349;Хандрамайло Василий Валериевич;+79446131842 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  22:04:58;5263317668;Петропуло Евгений Павлович;+79714131751 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  22:09:16;7076445954;Мисик Сергей Николаевич;+79497481039 ;Совершение операции при недействующем договоре;05.11.2021
02.05.2020  22:33:52;4249433646;Пудков Олег Иванович;+79191440029 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  22:34:34;8213995492;Гладишкин Сергей Сергеевич;+79890732455 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  22:54:39;2921864972;Наранов Александр Петрович;+79753959402 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  23:04:56;3904347595;Фель Евгений Никитович;+79692321575 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  23:07:48;5243508487;Барецкий Павел Александрович;+79575705724 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  23:10:13;3981050503;Чашко Кирилл Павлович;+79846204746 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  23:21:26;5670092603;Поджарый Роман Константинович;+79410212254 ;Совершение операции при недействующем договоре;05.11.2021
02.05.2020  23:29:46;8778457371;Белохов Михаил Романович;+79954610552 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  23:31:27;8108438217;Антощук Игорь Владимирович;+79451696230 ;Совершение операции при просроченном паспорте и в разных городах в течение 1 часа;05.11.2021
02.05.2020  23:35:34;6675992612;Чашко Валерий Дмитриевич;+79593444366 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  23:37:01;2106438067;Белохов Павел Николаевич;+79450598125 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  23:52:17;3830198779;Кеменев Антон Евгеньевич;+79873860428 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
02.05.2020  23:59:05;6630310773;Кеменев Валерий Кириллович;+79814077106 ;Совершение операции в разных городах в течение 1 часа;05.11.2021
